tid,cluster,title,imdbRating,ratingCount,year,nrOfWins,nrOfNominations,nrOfUserReviews,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
tt0055630,9,Die Leibwache (1961),8.4,53475,1961,4,1,139,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056172,9,Lawrence von Arabien (1962),8.4,140727,1962,20,13,509,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056592,7,Wer die Nachtigall stört (1962),8.4,154978,1962,12,12,407,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0056801,1,Achteinhalb (1963),8.2,58426,1963,14,8,202,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0057115,9,Gesprengte Ketten (1963),8.3,120161,1963,4,4,285,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0058461,1,Für eine Handvoll Dollar (1964),8.1,92532,1964,1,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0058946,7,Schlacht um Algier (1966),8.2,25876,1966,9,3,236,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0059578,1,Für ein paar Dollar mehr (1965),8.4,104305,1965,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0060196,9,Zwei glorreiche Halunken (1966),9,354997,1966,1,0,684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0060827,1,Persona (1966),8.2,40639,1966,8,1,149,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061184,1,Wer hat Angst vor Virginia Woolf? (1966),8.2,41330,1966,20,18,213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061512,7,Der Unbeugsame (1967),8.2,90643,1967,5,6,249,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061722,3,Die Reifeprüfung (1967),8.1,161502,1967,20,13,573,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0062622,6,2001: Odyssee im Weltraum (1968),8.3,295641,1968,12,6,1568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
tt0064115,9,Butch Cassidy und Sundance Kid (1969),8.2,111087,1969,18,12,281,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064116,1,Spiel mir das Lied vom Tod (1968),8.7,158065,1968,5,4,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0066921,6,Uhrwerk Orange (1971),8.4,386962,1971,11,13,1250,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0068646,6,Der Pate (1972),9.2,821410,1972,29,19,1751,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070735,7,Der Clou (1973),8.4,127640,1973,10,6,224,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071315,7,Chinatown (1974),8.3,159935,1974,20,22,412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0071562,6,Der Pate 2 (1974),9.1,541351,1974,11,16,565,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071853,9,Die Ritter der Kokosnu_ (1975),8.4,284563,1975,0,0,613,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072684,1,Barry Lyndon (1975),8.1,74677,1975,15,11,341,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072890,7,Hundstage (1975),8.1,137696,1975,13,17,228,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073195,2,Der wei_e Hai (1975),8.1,290528,1975,9,14,880,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0073486,6,Einer flog über das Kuckucksnest (1975),8.8,492141,1975,30,12,675,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074958,1,Network (1976),8.2,75434,1976,22,19,295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075148,6,Rocky (1976),8.1,243942,1976,17,20,479,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0075314,6,Taxi Driver (1976),8.4,351181,1976,26,9,768,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075686,3,Der Stadtneurotiker (1977),8.2,138617,1977,26,7,408,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0076759,6,Krieg der Sterne (1977),8.7,631839,1977,35,26,1325,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077416,6,Die durch die Hölle gehen (1978),8.2,174642,1978,21,17,949,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0078748,6,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),8.5,391737,1979,12,18,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0078788,6,Apocalypse Now (1979),8.5,333178,1979,17,30,896,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0079470,1,Das Leben des Brian (1979),8.2,198548,1979,0,0,298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079944,1,Stalker (1979),8.2,47589,1979,2,1,253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0080678,1,Der Elefantenmensch (1980),8.3,120156,1980,10,13,325,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0080684,6,Das Imperium schlägt zurück (1980),8.8,563252,1980,12,16,764,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0081398,6,Wie ein wilder Stier (1980),8.3,172854,1980,26,19,454,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0081505,6,Shining (1980),8.5,418163,1980,2,5,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082096,9,Das Boot (1981),8.5,127022,1981,13,5,397,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082971,6,Jäger des verlorenen Schatzes (1981),8.6,473742,1981,25,22,691,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0083658,6,Der Blade Runner (1982),8.3,350268,1982,10,15,1072,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
tt0083922,1,Fanny und Alexander (1982),8.2,30266,1982,20,7,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0083987,10,Gandhi (1982),8.1,121887,1982,30,16,222,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0084787,2,Das Ding aus einer anderen Welt (1982),8.2,188733,1982,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
tt0085334,1,Fröhliche Weihnachten (1983),8.1,85811,1983,3,11,431,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0086190,6,Die Rückkehr der Jedi-Ritter (1983),8.4,445123,1983,12,14,558,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0086879,6,Amadeus (1984),8.4,198201,1984,33,13,500,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0087544,9,Nausicaä - Prinzessin aus dem Tal der Winde (1984),8.2,60197,1984,3,0,161,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0087843,7,Es war einmal in Amerika (1984),8.4,159607,1984,13,4,461,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0088247,6,Terminator (1984),8.1,413108,1984,5,6,602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
