id,rank,star_name
nm0000638,474,William Shatner
nm0000698,475,Gene Wilder
nm0000301,476,Thora Birch
nm0872456,477,Claire Trevor
nm0002141,478,Celeste Holm
nm0000879,479,Anne Baxter
nm0001451,480,Queen Latifah
nm0000856,481,Ethel Barrymore
nm0206257,482,Rosario Dawson
nm0942863,483,Teresa Wright
nm0000802,484,Mary Astor
nm0002034,485,Jane Darwell
nm2539953,486,Alicia Vikander
nm1985859,487,Mia Wasikowska
nm1113550,488,Abigail Breslin
nm0814216,489,Gale Sondergaard
nm0565250,490,Melissa McCarthy
nm0275486,491,Tina Fey
nm0757855,492,Zoe Saldana
nm0005253,493,Elisabeth Moss
nm1597316,494,Adrianne Palicki
nm0004950,495,Jennifer Garner
nm1325419,496,Kristen Wiig
nm0820053,497,June Squibb
nm1020089,498,Sally Hawkins
nm0192505,499,Kaley Cuoco
nm0915208,500,Naomi Watts
nm1500155,501,Robert Pattinson
nm0402271,502,Charlie Hunnam
nm0396558,503,Nicholas Hoult
nm1093951,504,Aaron Taylor-Johnson
nm0186505,505,Bryan Cranston
nm0124930,506,Gerard Butler
nm0908094,507,Paul Walker
nm0881631,508,Karl Urban
nm0503567,509,Logan Lerman
nm2002649,510,Dave Franco
nm1089991,511,Tom Hiddleston
nm0227759,512,Peter Dinklage
nm2018237,513,Taylor Kitsch
nm0001570,514,Edward Norton
nm0001602,515,Guy Pearce
nm0749263,516,Mark Ruffalo
nm0000620,517,Mickey Rourke
nm0001449,518,Frank Langella
nm1519666,519,Eddie Redmayne
nm0000657,520,David Strathairn
nm0005024,521,Terrence Howard
nm0000146,522,Ralph Fiennes
nm0929489,523,Tom Wilkinson
nm0002070,524,Richard Farnsworth
nm0000560,525,Nick Nolte
nm1455681,526,AnnaSophia Robb
nm2605345,527,Gemma Arterton
nm1312575,528,Olivia Wilde
nm0279545,529,Isla Fisher
nm0940362,530,Shailene Woodley
nm2313103,531,Rebel Wilson
nm0731075,532,Emma Roberts
nm1720028,533,Amber Heard
nm1954240,534,Teresa Palmer
nm1519680,535,Saoirse Ronan
nm0006969,536,Elizabeth Banks
nm0526946,537,Ida Lupino
nm1754059,538,Natalie Dormer
nm0811242,539,Brittany Snow
nm0544718,540,Kate Mara
nm2584600,541,Julianne Hough
nm2934314,542,Lily Collins
nm1130627,543,Cobie Smulders
nm1404408,544,Alice Eve
nm1512166,545,Jamie Chung
nm0636426,546,Noomi Rapace
nm0515116,547,Blake Lively
nm1192254,548,Maggie Grace
nm0004754,549,Jessica Biel
nm1200692,550,Eva Green
nm0001228,551,Peter Fonda
nm0000437,552,Woody Harrelson
nm0000671,553,Billy Bob Thornton
nm0252961,554,Idris Elba
nm0001329,555,Nigel Hawthorne
nm0000401,556,Laurence Fishburne
nm0001653,557,Stephen Rea
nm0000886,558,Warren Beatty
nm0001321,559,Richard Harris
nm0000131,560,John Cusack
nm0000110,561,Kenneth Branagh
nm0001579,562,Edward James Olmos
nm0001884,563,Max von Sydow
